"";"ResponseId";"age";"genre";"CERQ_ACC";"CERQ_RUM";"CERQ_REA";"CERQ_CUL";"CERQ_REC";"CERQ_DRA";"CERQ_BLA";"CERQ_PLA";"CERQ_PERS";"CERQ_MAL";"CERQ_ADA";"AI_UPE";"AI_EPPR";"AI_RHSC";"AI_BFC";"AI_total";"BE_APP";"BE_ATT";"BE_Poids";"BE_total";"EE";"Interna";"QSREIC_dramatisation";"QSREIC_planif";"QSREIC_recentrage";"QSREIC_social";"QSREIC_culpa";"QSREIC_refus";"QSREIC_rumination";"QSREIC_physique";"QSREIC_évitement";"QSREIC_ADA";"QSREIC_MAL"
"412";"R_3RgtwWOmXMBdKQu";47;1;5;7;8;8;6;4;4;7;7;23;33;16;36;22;13;87;29;22;36;87;8;33;12;15;13;11;6;15;4;5;11;54;38
"413";"R_3rHgORap3PaXpeG";22;2;6;7;10;4;4;2;4;8;6;17;34;13;40;18;15;86;34;14;24;72;11;41;9;19;12;14;5;16;3;3;3;61;23
"414";"R_3rJnP6QDugVrdEj";34;1;10;7;8;4;4;3;4;6;5;18;33;20;19;24;12;75;20;19;21;60;6;37;10;11;7;6;7;8;2;10;7;32;36
"415";"R_3Rqlkm5E7wYDeNr";48;1;7;7;8;5;4;4;4;8;7;20;34;27;40;27;13;107;44;15;34;93;12;9;8;6;3;20;4;13;1;3;7;42;23
"416";"R_3s4RZ7HHUIva7wu";30;2;8;7;5;9;4;6;6;7;6;28;30;15;12;10;12;49;20;12;16;48;6;36;12;10;8;8;8;11;4;8;10;37;42
"417";"R_3sdkmTQ5s0Pnrv7";33;1;4;2;10;8;4;2;2;10;10;14;38;30;39;30;11;110;29;16;28;73;12;13;5;11;12;19;4;16;1;4;3;58;17
"418";"R_3svtXlICXxb8tus";42;2;6;9;3;3;3;8;5;6;4;25;22;22;19;12;13;66;32;15;27;74;4;21;4;12;11;17;5;14;2;3;5;54;19
"419";"R_3wszSsHSrR2CEA9";8;2;8;8;9;7;4;2;2;6;8;19;35;7;16;11;9;43;16;14;10;40;6;36;8;6;7;6;7;6;2;7;13;25;37
"420";"R_4SMu0KOw1mqFmOB";27;2;4;8;6;7;3;5;6;9;4;26;26;26;20;20;12;78;32;11;23;66;6;9;7;9;7;16;4;10;2;4;5;42;22
"421";"R_4TMjqNlPGQYU8V3";47;2;5;4;6;3;5;3;3;4;4;13;24;21;27;24;10;82;35;17;26;78;8;19;8;8;9;17;5;9;2;4;4;43;23
"422";"R_4VDA24wgwd04i3L";51;1;9;9;6;6;7;2;2;8;8;19;38;23;28;23;12;86;34;13;22;69;8;11;8;12;10;19;5;9;3;4;5;50;25
"423";"R_4VGZHnZIWi9MZ8Z";23;1;7;8;7;10;4;4;2;5;6;24;29;22;16;17;11;66;22;12;13;47;3;32;10;9;9;11;8;7;2;6;8;36;34
"424";"R_5ApCHb3je2bmYjD";29;1;5;9;9;10;4;3;2;7;10;24;35;12;36;19;9;76;25;12;18;55;9;18;8;11;9;12;6;10;2;7;7;42;30
"425";"R_5BfdF818IkJevxn";23;2;8;8;6;8;6;9;4;7;7;29;34;20;36;22;12;90;24;16;13;53;9;19;11;13;11;12;8;10;2;9;9;46;39
"426";"R_5BGiV211rSgK51f";19;2;6;7;6;4;3;4;4;6;5;19;26;23;19;11;12;65;30;13;16;59;6;9;9;9;8;17;6;8;2;5;6;42;28
"427";"R_5bZWcdvysgz3oFb";39;1;8;10;10;7;7;4;2;10;8;23;43;21;40;20;13;94;38;20;29;87;11;34;10;13;12;15;3;11;2;4;4;51;23
"428";"R_5jdLky0i0gbyAGl";32;1;8;7;6;7;5;4;4;7;8;22;34;17;20;12;15;64;31;13;17;61;10;36;8;10;9;11;7;6;4;5;8;36;32
"429";"R_6igQfz5Y7zBkhcR";5;2;5;8;9;4;4;4;4;7;5;20;30;26;17;25;10;78;33;16;19;68;8;18;11;10;8;18;6;13;3;4;6;49;30
"430";"R_6JewriuCi9ajKyl";52;1;6;5;6;6;6;5;2;6;7;18;31;22;25;13;12;72;38;15;32;85;11;14;9;11;12;18;9;6;1;4;4;47;27
"431";"R_6Km2RrrflEM9ScV";45;1;9;4;8;5;5;3;4;10;8;16;40;21;40;21;12;94;39;17;33;89;12;24;11;12;10;20;3;17;2;3;3;59;22
"432";"R_6KzSIEwlGy5bsOJ";29;2;9;5;10;7;8;4;2;9;9;18;45;23;30;24;12;89;31;17;24;72;8;26;10;15;12;19;6;13;1;4;5;59;26
"433";"R_6LRE75LfWyzVXyx";14;2;6;6;7;6;2;2;2;7;6;16;28;19;27;13;11;70;29;18;13;60;6;18;9;12;7;15;8;7;2;6;4;41;29
"434";"R_6sSkIxGoqMBHtiF";23;1;7;8;8;7;7;4;4;7;7;23;36;20;29;23;15;87;24;12;15;51;9;36;14;14;10;12;8;13;3;5;11;49;41
"435";"R_73D49phckSXli7L";18;2;7;8;6;7;5;8;3;4;4;26;26;14;17;12;8;51;25;11;13;49;5;34;11;9;5;9;9;7;3;9;8;30;40
"436";"R_78SQdyPPI9nKhnX";46;2;3;4;3;5;6;2;2;6;7;13;25;23;20;18;12;73;32;11;20;63;6;18;12;18;11;20;6;15;4;4;7;64;33
"437";"R_79CTJ4lFVXXVN5L";2;2;6;6;6;7;3;8;8;4;5;29;24;16;30;24;8;78;16;15;14;45;8;41;13;6;6;10;9;6;4;7;11;28;44
"438";"R_79vKmsnwUEkoG1b";42;2;4;4;6;6;6;4;3;6;6;17;28;7;20;14;12;53;18;11;17;46;7;35;9;11;8;13;5;8;3;5;8;40;30
"439";"R_7NxbWrHsmspHEaJ";24;2;7;6;7;4;3;2;2;7;6;14;30;30;14;7;15;66;33;13;18;64;3;9;8;9;11;17;5;17;2;2;5;54;22
"440";"R_8AZkugoDM6FXuet";16;2;10;4;5;6;3;2;3;4;6;15;28;30;28;29;8;95;24;6;12;42;10;17;13;12;12;19;8;8;3;3;11;51;38
"441";"R_8cwJiPcOswoyV0t";16;1;8;8;8;5;6;5;4;7;7;22;36;16;19;12;6;53;18;12;13;43;4;32;14;9;5;10;8;8;4;9;7;32;42
"442";"R_8j4AmTGglqdLQpX";30;2;8;8;9;6;5;3;4;10;8;21;40;23;24;19;12;78;17;15;9;41;5;36;18;8;7;11;10;10;5;8;12;36;53
"443";"R_8nOjUNqLNMLisEN";43;2;6;2;8;7;9;2;2;10;9;13;42;24;38;24;12;98;40;19;35;94;12;20;9;11;13;19;5;10;1;3;3;53;21
"444";"R_8qVxlq9rsgx6bg5";17;2;7;8;7;9;6;2;2;7;6;21;33;21;26;11;10;68;36;17;22;75;7;21;4;13;8;18;5;9;1;3;3;48;16
"445";"R_8zXuHp0bMUnkgZr";13;1;6;9;7;9;4;9;4;8;7;31;32;18;13;14;5;50;22;9;16;47;3;36;11;8;10;12;7;9;3;6;11;39;38
"446";"R_9MrhqFQGQoJFEGt";6;2;6;8;6;6;6;6;6;6;4;26;28;24;38;28;9;99;26;12;29;67;12;27;8;8;9;16;4;10;2;3;7;43;24
